회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M381,29,F,경기 용인시,5년 이상,평일 저녁,미입력,1:1,월 2-3회,3승 3패,취미 유지,야외 코트,주 1회 미만,30만 원 이상
M382,26,F,광주 북구,3-5년,평일 저녁,친절한 지도,온라인,주 2회,2승 2패,실력 향상,시설 완비,주 1-2회,10-30만 원
M383,30,M,서울 마포구,3-5년,평일 오후,친절한 지도,그룹,주 2회,,대회 준비,야외 코트,주 1-2회,30만 원 이상
M384,38,M,서울 서초구,0-1년,주말 저녁,엄격한 피드백,1:1,주 1회,0승 1패,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M385,34,M,인천 연수구,1-3년,평일 오후,엄격한 피드백,그룹,월 2-3회,3승 3패,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M386,50,F,부산 남구,0-1년,주말 저녁,동기부여 중심,온라인,주 2회,,취미 유지,접근성,매일,10-30만 원
M387,48,M,인천 연수구,5년 이상,주말 오전,동기부여 중심,온라인,월 2-3회,2승 3패,대회 준비,접근성,주 1-2회,10만 원 미만
M388,12,M,경기 용인시,0-1년,평일 오전,엄격한 피드백,온라인,주 1회,1승 1패,취미 유지,접근성,미사용,10만 원 미만
M389,47,F,서울 마포구,0-1년,주말 저녁,미입력,그룹,월 1회 미만,1승 2패,취미 유지,접근성,주 1회 미만,10-30만 원
M390,41,F,부산 해운대구,1-3년,주말 오전,미입력,그룹,주 2회,,실력 향상,실내 코트,주 1회 미만,10-30만 원
M391,20,F,대구 수성구,0-1년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 1패,대회 준비,미입력,주 1회 미만,10-30만 원
M392,40,M,강원 원주시,5년 이상,평일 저녁,친절한 지도,그룹,월 2-3회,,대회 준비,야외 코트,매일,10만 원 미만
M393,26,M,대구 수성구,1-3년,평일 오후,동기부여 중심,1:1,주 1회,0승 2패,실력 향상,실내 코트,미사용,10만 원 미만
M394,40,F,경기 용인시,3-5년,평일 오후,미입력,1:1,주 1회,3승 1패,실력 향상,시설 완비,주 1-2회,10-30만 원
M395,39,M,대구 달서구,1-3년,주말 저녁,동기부여 중심,1:1,주 2회,2승 2패,체력 증진,접근성,주 1회 미만,30만 원 이상
M396,42,M,서울 강남구,0-1년,주말 오전,동기부여 중심,온라인,월 1회 미만,0승 2패,체력 증진,야외 코트,주 1회 미만,10-30만 원
M397,55,M,서울 송파구,3-5년,평일 오전,친절한 지도,온라인,월 1회 미만,3승 0패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M398,48,M,대구 달서구,1-3년,평일 저녁,친절한 지도,그룹,주 2회,1승 1패,대회 준비,미입력,미사용,30만 원 이상
M399,24,M,대구 수성구,5년 이상,주말 오전,동기부여 중심,그룹,월 1회 미만,,취미 유지,실내 코트,주 1-2회,10-30만 원
M400,33,M,광주 북구,5년 이상,평일 오후,동기부여 중심,1:1,주 1회,2승 3패,취미 유지,접근성,미사용,30만 원 이상
M401,34,M,대전 서구,3-5년,평일 오후,친절한 지도,그룹,주 1회,1승 2패,대회 준비,접근성,매일,30만 원 이상
M402,43,기타,경기 성남시,3-5년,주말 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,접근성,미사용,30만 원 이상
M403,48,F,서울 서초구,3-5년,평일 오전,엄격한 피드백,온라인,월 1회 미만,0승 2패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M404,31,F,서울 송파구,0-1년,평일 오전,엄격한 피드백,1:1,주 2회,3승 0패,실력 향상,시설 완비,주 1-2회,30만 원 이상
M405,27,M,서울 영등포구,3-5년,주말 저녁,친절한 지도,온라인,주 1회,,취미 유지,접근성,주 1회 미만,30만 원 이상
M406,49,F,서울 강남구,0-1년,평일 오후,친절한 지도,1:1,주 1회,2승 1패,실력 향상,미입력,주 1회 미만,30만 원 이상
M407,33,M,대전 서구,1-3년,평일 오전,친절한 지도,온라인,월 1회 미만,2승 0패,취미 유지,실내 코트,주 1-2회,10-30만 원
M408,39,M,인천 남동구,0-1년,주말 오전,엄격한 피드백,그룹,주 2회,3승 2패,체력 증진,실내 코트,미사용,10만 원 미만
M409,39,M,인천 남동구,0-1년,주말 저녁,엄격한 피드백,1:1,월 2-3회,,체력 증진,시설 완비,주 1-2회,10-30만 원
M410,36,M,서울 강남구,5년 이상,평일 오후,엄격한 피드백,그룹,월 1회 미만,1승 1패,대회 준비,실내 코트,주 1-2회,10-30만 원
M411,49,M,인천 연수구,0-1년,주말 오전,엄격한 피드백,그룹,주 1회,1승 2패,실력 향상,접근성,주 1-2회,10-30만 원
M412,20,F,서울 송파구,1-3년,평일 저녁,엄격한 피드백,그룹,주 1회,3승 0패,대회 준비,실내 코트,미사용,10-30만 원
M413,40,F,광주 북구,0-1년,주말 저녁,엄격한 피드백,1:1,주 1회,3승 0패,실력 향상,접근성,매일,30만 원 이상
M414,12,F,서울 영등포구,0-1년,평일 오전,엄격한 피드백,그룹,주 1회,2승 2패,대회 준비,접근성,주 1-2회,10만 원 미만
M415,38,M,인천 연수구,1-3년,평일 오전,친절한 지도,1:1,월 1회 미만,,실력 향상,시설 완비,미사용,10만 원 미만
M416,42,M,서울 서초구,5년 이상,평일 오후,엄격한 피드백,1:1,월 2-3회,3승 0패,실력 향상,미입력,미사용,10만 원 미만
M417,20,M,서울 마포구,5년 이상,평일 저녁,엄격한 피드백,1:1,월 2-3회,0승 0패,체력 증진,접근성,주 1-2회,30만 원 이상
M418,25,F,부산 남구,5년 이상,평일 저녁,엄격한 피드백,그룹,월 1회 미만,3승 3패,대회 준비,실내 코트,매일,10만 원 미만
M419,20,F,경기 성남시,0-1년,주말 오전,친절한 지도,1:1,월 2-3회,3승 3패,체력 증진,접근성,주 1회 미만,10-30만 원
M420,48,M,대구 수성구,5년 이상,평일 저녁,친절한 지도,온라인,주 2회,0승 1패,체력 증진,시설 완비,미사용,10-30만 원
M421,27,M,인천 남동구,5년 이상,주말 오전,엄격한 피드백,1:1,주 1회,,실력 향상,미입력,미사용,10만 원 미만
M422,34,F,경기 성남시,3-5년,주말 오전,친절한 지도,온라인,주 2회,3승 3패,실력 향상,야외 코트,주 1회 미만,30만 원 이상
M423,37,M,서울 강남구,0-1년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,3승 0패,실력 향상,야외 코트,미사용,10만 원 미만
M424,43,M,서울 영등포구,5년 이상,평일 오후,친절한 지도,온라인,월 1회 미만,3승 0패,실력 향상,야외 코트,미사용,10만 원 미만
M425,37,M,대전 유성구,3-5년,주말 오전,친절한 지도,1:1,주 1회,0승 1패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M426,39,M,광주 북구,1-3년,평일 오전,미입력,그룹,월 2-3회,2승 3패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M427,40,M,대구 달서구,1-3년,주말 저녁,동기부여 중심,1:1,주 1회,0승 1패,실력 향상,실내 코트,미사용,10-30만 원
M428,49,F,서울 영등포구,5년 이상,평일 오전,친절한 지도,1:1,월 1회 미만,0승 1패,취미 유지,시설 완비,매일,30만 원 이상
M429,41,M,대구 달서구,0-1년,평일 오전,친절한 지도,온라인,월 2-3회,2승 3패,실력 향상,접근성,주 1-2회,10-30만 원
M430,34,기타,부산 남구,3-5년,평일 저녁,엄격한 피드백,그룹,월 2-3회,2승 1패,실력 향상,접근성,매일,10만 원 미만
M431,42,F,부산 남구,5년 이상,평일 오전,친절한 지도,온라인,주 1회,1승 1패,체력 증진,접근성,주 1회 미만,10만 원 미만
M432,19,M,광주 북구,0-1년,평일 오전,친절한 지도,그룹,주 1회,0승 2패,취미 유지,실내 코트,주 1회 미만,30만 원 이상
M433,27,F,대전 유성구,0-1년,평일 오후,친절한 지도,1:1,월 2-3회,3승 1패,체력 증진,미입력,주 1-2회,10-30만 원
M434,17,M,제주 서귀포시,0-1년,주말 저녁,친절한 지도,온라인,주 1회,3승 0패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M435,21,기타,인천 연수구,1-3년,평일 오후,친절한 지도,그룹,월 1회 미만,,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M436,38,F,서울 영등포구,3-5년,평일 오전,엄격한 피드백,1:1,주 2회,3승 1패,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M437,38,M,서울 송파구,5년 이상,평일 오후,엄격한 피드백,온라인,월 1회 미만,0승 2패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M438,48,M,서울 마포구,1-3년,평일 저녁,친절한 지도,그룹,주 2회,0승 3패,실력 향상,접근성,주 1-2회,10만 원 미만
M439,43,M,부산 수영구,3-5년,평일 저녁,엄격한 피드백,그룹,월 2-3회,,체력 증진,실내 코트,주 1-2회,10만 원 미만
M440,20,F,광주 북구,0-1년,주말 저녁,친절한 지도,온라인,주 1회,1승 1패,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M441,26,M,대전 유성구,3-5년,평일 오후,미입력,온라인,월 2-3회,3승 2패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M442,31,F,서울 서초구,1-3년,주말 오전,친절한 지도,1:1,주 2회,0승 0패,취미 유지,미입력,주 1회 미만,10-30만 원
M443,51,M,광주 광산구,1-3년,평일 오후,엄격한 피드백,1:1,주 2회,2승 3패,체력 증진,접근성,매일,30만 원 이상
M444,20,M,대구 수성구,0-1년,평일 오전,동기부여 중심,온라인,월 1회 미만,2승 1패,대회 준비,시설 완비,주 1-2회,30만 원 이상
M445,40,M,경기 용인시,0-1년,주말 오전,동기부여 중심,그룹,주 1회,,체력 증진,실내 코트,매일,10-30만 원
M446,21,M,대전 서구,5년 이상,주말 오전,엄격한 피드백,온라인,월 2-3회,,취미 유지,실내 코트,주 1회 미만,10-30만 원
M447,36,F,광주 북구,0-1년,평일 오전,동기부여 중심,1:1,월 1회 미만,3승 0패,대회 준비,접근성,매일,10-30만 원
M448,40,F,서울 송파구,3-5년,평일 저녁,동기부여 중심,1:1,월 1회 미만,0승 1패,체력 증진,실내 코트,주 1-2회,10-30만 원
M449,31,F,강원 원주시,3-5년,주말 저녁,친절한 지도,그룹,월 2-3회,3승 0패,실력 향상,야외 코트,주 1회 미만,10만 원 미만
M450,40,F,서울 서초구,3-5년,주말 오전,동기부여 중심,그룹,주 1회,3승 0패,체력 증진,야외 코트,주 1-2회,30만 원 이상
M451,40,F,서울 마포구,1-3년,주말 오전,친절한 지도,온라인,주 2회,0승 3패,체력 증진,접근성,주 1회 미만,10만 원 미만
M452,37,F,서울 강남구,3-5년,평일 오후,엄격한 피드백,그룹,주 2회,0승 0패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M453,46,M,경기 성남시,1-3년,주말 오전,친절한 지도,1:1,월 1회 미만,3승 1패,대회 준비,시설 완비,주 1-2회,10만 원 미만
M454,46,F,경기 용인시,5년 이상,평일 저녁,미입력,온라인,주 1회,1승 2패,대회 준비,접근성,주 1회 미만,10만 원 미만
M455,34,M,경기 성남시,5년 이상,평일 오전,미입력,그룹,월 2-3회,,실력 향상,미입력,미사용,30만 원 이상
M456,46,F,제주 서귀포시,5년 이상,평일 오후,친절한 지도,그룹,주 2회,3승 0패,실력 향상,야외 코트,주 1회 미만,10만 원 미만
M457,31,M,서울 송파구,1-3년,평일 오전,친절한 지도,1:1,주 2회,3승 3패,실력 향상,야외 코트,매일,30만 원 이상
M458,35,F,대구 수성구,0-1년,주말 오전,미입력,그룹,주 2회,,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M459,34,F,서울 송파구,1-3년,평일 오전,엄격한 피드백,그룹,월 1회 미만,1승 3패,실력 향상,접근성,주 1-2회,10-30만 원
M460,32,M,대전 서구,1-3년,주말 오전,엄격한 피드백,1:1,월 1회 미만,2승 3패,대회 준비,실내 코트,주 1-2회,30만 원 이상
M461,35,M,경기 성남시,5년 이상,평일 오후,친절한 지도,온라인,월 1회 미만,3승 0패,실력 향상,접근성,매일,10만 원 미만
M462,28,F,부산 남구,0-1년,평일 오후,미입력,온라인,주 1회,,대회 준비,실내 코트,주 1-2회,10-30만 원
M463,39,F,서울 강남구,1-3년,주말 저녁,엄격한 피드백,그룹,주 1회,1승 1패,실력 향상,실내 코트,주 1-2회,10-30만 원
M464,37,M,대전 유성구,0-1년,평일 오전,친절한 지도,온라인,월 1회 미만,1승 2패,취미 유지,실내 코트,주 1-2회,10만 원 미만
M465,36,M,서울 서초구,3-5년,주말 오전,엄격한 피드백,1:1,주 1회,2승 1패,체력 증진,미입력,매일,10-30만 원
M466,36,F,서울 서초구,1-3년,주말 저녁,엄격한 피드백,그룹,월 2-3회,,실력 향상,야외 코트,주 1-2회,10만 원 미만
M467,27,F,대구 수성구,3-5년,주말 저녁,동기부여 중심,그룹,월 1회 미만,,체력 증진,미입력,미사용,10만 원 미만
M468,37,M,경기 용인시,0-1년,평일 오후,동기부여 중심,온라인,월 1회 미만,,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M469,59,M,서울 영등포구,0-1년,주말 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,실내 코트,매일,10-30만 원
M470,38,F,대구 수성구,5년 이상,평일 오후,친절한 지도,그룹,주 2회,2승 1패,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M471,47,F,광주 광산구,5년 이상,평일 오후,친절한 지도,온라인,월 2-3회,,대회 준비,시설 완비,주 1-2회,10만 원 미만
M472,41,F,부산 수영구,3-5년,평일 저녁,동기부여 중심,그룹,주 2회,,대회 준비,실내 코트,주 1회 미만,10-30만 원
M473,37,M,인천 연수구,3-5년,주말 저녁,친절한 지도,그룹,주 1회,,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M474,20,F,서울 서초구,1-3년,평일 오후,친절한 지도,온라인,월 1회 미만,0승 3패,체력 증진,시설 완비,매일,10만 원 미만
M475,42,F,서울 강남구,3-5년,주말 오전,친절한 지도,1:1,주 2회,0승 0패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M476,54,M,경기 성남시,3-5년,주말 저녁,엄격한 피드백,그룹,주 1회,0승 2패,대회 준비,접근성,주 1회 미만,10만 원 미만
M477,30,F,서울 송파구,3-5년,주말 오전,엄격한 피드백,온라인,월 2-3회,3승 2패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M478,59,F,광주 북구,0-1년,주말 저녁,엄격한 피드백,그룹,월 1회 미만,0승 2패,대회 준비,미입력,주 1-2회,10-30만 원
M479,36,F,대전 서구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,,대회 준비,시설 완비,주 1-2회,10만 원 미만
M480,33,M,경기 용인시,5년 이상,주말 저녁,친절한 지도,그룹,주 1회,,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M481,42,M,경기 용인시,1-3년,평일 오전,미입력,그룹,주 2회,3승 3패,대회 준비,접근성,주 1-2회,10만 원 미만
M482,42,F,대전 유성구,1-3년,주말 오전,미입력,온라인,주 2회,2승 0패,실력 향상,실내 코트,미사용,10만 원 미만
M483,26,M,서울 강남구,0-1년,평일 오전,엄격한 피드백,그룹,월 1회 미만,2승 0패,취미 유지,시설 완비,주 1-2회,10만 원 미만
M484,39,M,서울 송파구,1-3년,평일 오후,친절한 지도,1:1,주 2회,1승 0패,실력 향상,야외 코트,매일,10-30만 원
M485,35,M,광주 북구,5년 이상,주말 저녁,친절한 지도,온라인,주 1회,0승 3패,실력 향상,야외 코트,주 1회 미만,30만 원 이상
M486,27,F,경기 성남시,1-3년,평일 저녁,엄격한 피드백,온라인,주 1회,0승 3패,실력 향상,실내 코트,미사용,10만 원 미만
M487,45,M,서울 서초구,5년 이상,평일 저녁,친절한 지도,그룹,월 1회 미만,,체력 증진,야외 코트,미사용,10만 원 미만
M488,30,F,대구 달서구,5년 이상,평일 오전,친절한 지도,그룹,주 1회,1승 1패,실력 향상,접근성,주 1회 미만,10만 원 미만
M489,43,M,제주 서귀포시,0-1년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,3승 2패,실력 향상,야외 코트,매일,30만 원 이상
M490,20,F,부산 해운대구,3-5년,평일 저녁,친절한 지도,그룹,월 2-3회,2승 1패,체력 증진,시설 완비,주 1-2회,10-30만 원
M491,48,F,대전 유성구,3-5년,평일 오후,미입력,온라인,주 2회,3승 1패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M492,21,M,부산 남구,5년 이상,주말 저녁,엄격한 피드백,1:1,월 1회 미만,0승 0패,체력 증진,시설 완비,주 1-2회,30만 원 이상
M493,37,F,서울 영등포구,3-5년,평일 오후,엄격한 피드백,1:1,월 2-3회,,실력 향상,실내 코트,매일,10-30만 원
M494,33,F,광주 광산구,5년 이상,평일 오후,친절한 지도,그룹,월 1회 미만,3승 3패,실력 향상,접근성,주 1회 미만,10-30만 원
M495,42,M,서울 강남구,3-5년,주말 오전,동기부여 중심,그룹,월 1회 미만,,체력 증진,접근성,주 1회 미만,30만 원 이상
M496,23,F,인천 연수구,5년 이상,주말 저녁,친절한 지도,1:1,월 1회 미만,3승 1패,체력 증진,실내 코트,미사용,30만 원 이상
M497,31,M,부산 수영구,3-5년,주말 오전,미입력,온라인,월 2-3회,3승 1패,실력 향상,접근성,매일,10-30만 원
M498,34,F,서울 서초구,0-1년,평일 오전,친절한 지도,그룹,월 2-3회,3승 2패,취미 유지,미입력,매일,10-30만 원
M499,44,M,대구 달서구,5년 이상,주말 저녁,엄격한 피드백,1:1,주 1회,2승 2패,실력 향상,시설 완비,주 1-2회,10-30만 원
M500,30,F,서울 강남구,5년 이상,평일 오후,미입력,그룹,월 2-3회,1승 0패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M501,40,M,경기 용인시,1-3년,평일 오후,친절한 지도,온라인,월 1회 미만,0승 1패,대회 준비,미입력,주 1회 미만,10-30만 원
M502,47,M,광주 광산구,0-1년,평일 오후,미입력,그룹,월 1회 미만,,취미 유지,접근성,주 1-2회,10-30만 원
M503,24,F,대전 유성구,0-1년,평일 저녁,친절한 지도,온라인,월 2-3회,2승 1패,실력 향상,접근성,주 1-2회,30만 원 이상
M504,30,F,부산 해운대구,3-5년,평일 오전,친절한 지도,그룹,주 1회,,실력 향상,접근성,미사용,10만 원 미만
M505,40,F,서울 영등포구,3-5년,평일 저녁,미입력,온라인,주 2회,2승 2패,취미 유지,실내 코트,미사용,30만 원 이상
M506,32,F,광주 광산구,0-1년,주말 오전,엄격한 피드백,그룹,월 1회 미만,2승 3패,실력 향상,시설 완비,주 1-2회,10-30만 원
M507,29,F,서울 송파구,5년 이상,주말 오전,친절한 지도,그룹,월 2-3회,,실력 향상,시설 완비,주 1-2회,30만 원 이상
M508,30,F,광주 광산구,3-5년,평일 저녁,미입력,그룹,월 2-3회,1승 1패,체력 증진,시설 완비,미사용,10-30만 원
M509,46,M,서울 송파구,3-5년,평일 오후,미입력,1:1,월 1회 미만,,체력 증진,야외 코트,주 1-2회,10-30만 원
M510,28,F,광주 북구,5년 이상,주말 저녁,친절한 지도,그룹,주 1회,0승 0패,취미 유지,접근성,매일,30만 원 이상
M511,29,M,인천 남동구,5년 이상,평일 저녁,엄격한 피드백,1:1,주 2회,,실력 향상,미입력,미사용,10만 원 미만
M512,23,F,인천 연수구,5년 이상,주말 오전,친절한 지도,1:1,주 1회,3승 1패,대회 준비,접근성,주 1회 미만,10-30만 원
M513,29,F,대구 수성구,1-3년,평일 오전,친절한 지도,1:1,주 1회,2승 3패,취미 유지,야외 코트,매일,10만 원 미만
M514,47,M,서울 송파구,5년 이상,평일 오후,친절한 지도,그룹,월 2-3회,,대회 준비,실내 코트,미사용,10만 원 미만
M515,58,F,대구 수성구,3-5년,주말 저녁,동기부여 중심,그룹,월 2-3회,,실력 향상,야외 코트,미사용,10만 원 미만
M516,54,F,서울 강남구,5년 이상,평일 오전,친절한 지도,그룹,월 1회 미만,1승 2패,대회 준비,미입력,주 1-2회,30만 원 이상
M517,10,M,서울 송파구,5년 이상,평일 오전,엄격한 피드백,그룹,월 1회 미만,3승 2패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M518,43,F,서울 마포구,1-3년,주말 오전,친절한 지도,1:1,주 1회,,체력 증진,시설 완비,주 1-2회,10-30만 원
M519,31,F,경기 성남시,0-1년,주말 저녁,엄격한 피드백,온라인,주 1회,0승 3패,취미 유지,접근성,주 1-2회,10-30만 원
M520,41,F,경기 용인시,0-1년,주말 오전,친절한 지도,온라인,주 2회,2승 2패,실력 향상,접근성,주 1-2회,10-30만 원
M521,44,M,서울 마포구,1-3년,평일 오후,동기부여 중심,1:1,주 2회,0승 3패,체력 증진,접근성,매일,10만 원 미만
M522,41,F,서울 영등포구,1-3년,주말 오전,엄격한 피드백,온라인,월 1회 미만,1승 2패,대회 준비,실내 코트,미사용,10만 원 미만
M523,27,M,부산 수영구,1-3년,주말 저녁,친절한 지도,그룹,월 1회 미만,,실력 향상,미입력,매일,10-30만 원
M524,43,M,부산 남구,3-5년,주말 저녁,동기부여 중심,1:1,월 2-3회,0승 0패,취미 유지,실내 코트,매일,10만 원 미만
M525,43,M,인천 연수구,3-5년,주말 저녁,친절한 지도,온라인,월 1회 미만,0승 0패,체력 증진,시설 완비,미사용,30만 원 이상
M526,20,M,서울 송파구,3-5년,주말 저녁,동기부여 중심,온라인,주 2회,,취미 유지,실내 코트,매일,30만 원 이상
M527,25,F,서울 송파구,0-1년,평일 저녁,친절한 지도,1:1,주 2회,,대회 준비,실내 코트,미사용,30만 원 이상
M528,60,M,서울 송파구,5년 이상,평일 저녁,엄격한 피드백,온라인,주 2회,,대회 준비,시설 완비,주 1회 미만,30만 원 이상
M529,45,M,서울 송파구,0-1년,평일 오후,엄격한 피드백,그룹,주 1회,,체력 증진,시설 완비,주 1-2회,10-30만 원
M530,44,F,광주 북구,5년 이상,주말 오전,미입력,온라인,주 2회,,실력 향상,야외 코트,주 1회 미만,30만 원 이상
M531,31,F,서울 영등포구,1-3년,주말 오전,미입력,온라인,월 1회 미만,1승 2패,체력 증진,실내 코트,미사용,10-30만 원
M532,28,기타,부산 남구,5년 이상,주말 저녁,엄격한 피드백,1:1,월 2-3회,2승 2패,대회 준비,접근성,매일,10만 원 미만
M533,22,F,인천 연수구,0-1년,평일 오후,엄격한 피드백,그룹,주 2회,0승 1패,대회 준비,미입력,매일,10-30만 원
M534,22,M,인천 남동구,1-3년,평일 오후,동기부여 중심,1:1,주 1회,0승 0패,대회 준비,실내 코트,매일,30만 원 이상
M535,31,M,광주 광산구,3-5년,평일 오전,엄격한 피드백,온라인,주 1회,0승 0패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M536,31,M,경기 용인시,0-1년,평일 오전,엄격한 피드백,1:1,월 2-3회,2승 1패,실력 향상,야외 코트,주 1-2회,30만 원 이상
M537,48,F,부산 해운대구,0-1년,평일 오후,엄격한 피드백,그룹,주 2회,3승 2패,체력 증진,실내 코트,미사용,10만 원 미만
M538,43,F,대구 달서구,0-1년,주말 오전,미입력,그룹,주 1회,3승 2패,대회 준비,미입력,주 1회 미만,10-30만 원
M539,39,F,대구 수성구,1-3년,평일 오후,미입력,온라인,주 2회,1승 2패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M540,46,F,서울 송파구,3-5년,평일 저녁,엄격한 피드백,온라인,주 1회,2승 1패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M541,30,M,부산 해운대구,1-3년,평일 오전,엄격한 피드백,1:1,월 1회 미만,,실력 향상,미입력,미사용,10-30만 원
M542,44,F,인천 연수구,5년 이상,주말 저녁,엄격한 피드백,온라인,월 2-3회,,대회 준비,실내 코트,매일,30만 원 이상
M543,42,M,인천 연수구,3-5년,평일 저녁,엄격한 피드백,그룹,주 1회,2승 1패,체력 증진,실내 코트,매일,10만 원 미만
M544,34,F,서울 송파구,0-1년,평일 저녁,친절한 지도,그룹,주 1회,1승 0패,체력 증진,미입력,매일,10-30만 원
M545,34,F,부산 해운대구,5년 이상,평일 오후,동기부여 중심,1:1,월 1회 미만,1승 2패,체력 증진,시설 완비,주 1회 미만,10-30만 원
M546,27,M,서울 영등포구,1-3년,평일 저녁,엄격한 피드백,그룹,월 2-3회,0승 1패,실력 향상,실내 코트,주 1-2회,10-30만 원
M547,54,M,경기 성남시,1-3년,주말 오전,엄격한 피드백,1:1,주 2회,0승 1패,취미 유지,실내 코트,주 1-2회,30만 원 이상
M548,39,M,광주 광산구,1-3년,평일 저녁,친절한 지도,온라인,월 2-3회,,대회 준비,시설 완비,매일,10-30만 원
M549,29,F,서울 서초구,1-3년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,,체력 증진,시설 완비,매일,30만 원 이상
M550,36,M,인천 남동구,3-5년,주말 오전,미입력,온라인,월 1회 미만,0승 3패,취미 유지,실내 코트,미사용,30만 원 이상
M551,48,F,서울 서초구,0-1년,주말 저녁,친절한 지도,온라인,주 2회,0승 3패,실력 향상,야외 코트,미사용,10-30만 원
M552,42,M,서울 서초구,3-5년,평일 오후,엄격한 피드백,온라인,주 1회,2승 0패,실력 향상,시설 완비,주 1-2회,10-30만 원
M553,26,M,대전 유성구,1-3년,주말 저녁,친절한 지도,1:1,주 1회,0승 1패,취미 유지,시설 완비,매일,10만 원 미만
M554,31,F,서울 송파구,1-3년,주말 오전,친절한 지도,온라인,월 2-3회,1승 1패,체력 증진,접근성,주 1회 미만,30만 원 이상
M555,26,M,인천 연수구,0-1년,평일 저녁,친절한 지도,1:1,주 2회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M556,47,M,부산 남구,0-1년,주말 오전,친절한 지도,1:1,월 2-3회,3승 2패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M557,38,F,부산 수영구,5년 이상,주말 저녁,동기부여 중심,그룹,주 1회,,체력 증진,시설 완비,미사용,10-30만 원
M558,36,기타,광주 북구,1-3년,주말 오전,동기부여 중심,1:1,주 2회,0승 0패,취미 유지,실내 코트,매일,10-30만 원
M559,36,F,부산 해운대구,3-5년,평일 저녁,친절한 지도,온라인,주 2회,,체력 증진,야외 코트,매일,10-30만 원
M560,45,M,부산 해운대구,0-1년,주말 저녁,친절한 지도,그룹,월 1회 미만,1승 0패,대회 준비,시설 완비,주 1-2회,30만 원 이상
M561,38,F,경기 용인시,0-1년,평일 저녁,엄격한 피드백,1:1,주 2회,1승 0패,취미 유지,실내 코트,미사용,10-30만 원
M562,25,M,부산 남구,0-1년,주말 저녁,엄격한 피드백,온라인,주 2회,2승 0패,취미 유지,실내 코트,주 1-2회,30만 원 이상
M563,37,M,서울 강남구,5년 이상,주말 저녁,친절한 지도,1:1,주 1회,,취미 유지,접근성,주 1-2회,30만 원 이상
M564,45,M,서울 영등포구,1-3년,평일 오전,친절한 지도,1:1,월 1회 미만,0승 3패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M565,22,F,대구 수성구,1-3년,평일 오전,친절한 지도,1:1,월 2-3회,,대회 준비,시설 완비,주 1회 미만,30만 원 이상
M566,40,M,서울 송파구,0-1년,주말 오전,친절한 지도,온라인,주 2회,,실력 향상,시설 완비,주 1-2회,30만 원 이상
M567,35,F,경기 용인시,0-1년,평일 오후,친절한 지도,그룹,월 2-3회,0승 1패,대회 준비,접근성,주 1회 미만,30만 원 이상
M568,37,M,경기 성남시,0-1년,주말 저녁,엄격한 피드백,1:1,주 2회,1승 1패,체력 증진,접근성,미사용,10-30만 원
M569,39,M,부산 수영구,0-1년,평일 오후,친절한 지도,그룹,월 1회 미만,,대회 준비,시설 완비,미사용,10-30만 원
M570,43,F,대전 유성구,0-1년,주말 저녁,엄격한 피드백,그룹,주 1회,2승 3패,체력 증진,미입력,주 1-2회,30만 원 이상
